Section,Source,Field,Value,Priority,Notes
OVERVIEW,,,,,
OVERVIEW,Bundesagentur für Arbeit,What it is,Germany's federal employment agency — largest job database in Germany with 1.5M+ live listings,P1 — Start Day 1,Covers Minijob / Teilzeit / Werkstudent / all categories
OVERVIEW,Arbeitnow,What it is,English-first job board built for international talent in Germany. Founder is Indian expat in Berlin — exact demographic match,P1 — Start Day 1,Manually vetted listings; visa-sponsorship and Werkstudent tagged
OVERVIEW,JSearch (Google for Jobs),What it is,Aggregates LinkedIn + Indeed + StepStone + company career pages via Google's job index in one API call,P2 — Week 1,Free tier: 500 req/month. Produces duplicates — deduplication required
OVERVIEW,Greenhouse,What it is,ATS used by N26 / HelloFresh / Delivery Hero / Auto1 / Wunderkind and hundreds of Berlin tech companies,P1 — Week 2,Public JSON endpoint per company. No auth. No scraping.
OVERVIEW,Lever,What it is,ATS used by Personio and many Berlin scaleups and agencies,P1 — Week 2,Supports part-time filter at source level
OVERVIEW,Ashby,What it is,ATS used by newer Berlin tech startups. Best compensation data of any public ATS feed.,P1 — Week 2,Clean structured salary ranges
OVERVIEW,Personio,What it is,Dominant HR software for mid-size German companies. 1000+ customers. Mittelstand Werkstudent roles.,P1 — Week 2,XML + JSON feed per company. Building full Personio company list = significant data moat
OVERVIEW,Recruitee,What it is,ATS used by many German SMEs,P2 — Week 2,Public API endpoint per company
OVERVIEW,Workable,What it is,ATS used across European companies,P2 — Week 2,Public API endpoint per account
OVERVIEW,Stellenticket,What it is,Official student job board for ALL major Berlin universities — TU / HU / FU / HWR / HTW,P1 — Week 3 (partnership),Employers who post here explicitly want students. Pre-qualified listings.
OVERVIEW,jobicco Berlin,What it is,Companion to Stellenticket for casual/odd jobs — warehouse / events / retail / gastronomy,P2 — Phase 2,Same operator as Stellenticket. One contact covers both.
OVERVIEW,Berlin Startup Jobs,What it is,Curated board of Berlin-specific startup roles. Already identified as direct partnership target in business plan.,P2 — Month 1,Propose data feed exchange: Agora distribution for their listing data
OVERVIEW,StepStone,What it is,Germany's largest traditional job board. High-quality listings because employers pay to post.,P2 — Week 3 (crawl),No public API. Crawlee scraper required. 1 req/10 sec.
OVERVIEW,Absolventa / Workwise / academics.de,What it is,Niche German student and graduate job boards. Public search pages.,P3 — Month 2,Crawl with Crawlee as secondary sources
OVERVIEW,Zenjob / Jobber,What it is,Gig-work platforms for student shift work. No public data — commercial arrangement needed.,P3 — Phase 2,Contact Zenjob BD team for listing data sharing deal
,,,,,
ENDPOINTS & AUTH,,,,,
ENDPOINTS & AUTH,Bundesagentur für Arbeit,Base URL,https://rest.arbeitsagentur.de/jobboerse/jobsuche-service/pc/v6/jobs,—,Search endpoint
ENDPOINTS & AUTH,Bundesagentur für Arbeit,Detail URL,https://rest.arbeitsagentur.de/jobboerse/jobsuche-service/pc/v4/jobdetails/{base64(refnr)},—,Two-step fetch: search first → get refnr → fetch detail
ENDPOINTS & AUTH,Bundesagentur für Arbeit,GitHub Repo,https://github.com/bundesAPI/jobsuche-api,—,Community-documented reverse-engineered API
ENDPOINTS & AUTH,Bundesagentur für Arbeit,Official Docs,https://jobsuche.api.bund.dev,—,Semi-official documentation mirror
ENDPOINTS & AUTH,Bundesagentur für Arbeit,Auth Method,Header: X-API-Key: jobboerse-jobsuche,—,Static public key — no signup needed
ENDPOINTS & AUTH,Bundesagentur für Arbeit,Auth Cost,Free — no registration required,—,Key is hardcoded and public
